id;address;datahex;updatetime;name;units;datatype;comment;disablelog;highpriolog;tagcache;export;pollinterval;visparams;enums;covincr;extid;readoninit
1;1;01;1592857547;Hall 0p_Przy wejściu_Ruch external;;1;ETS import;1;0;Obecnosc;0;;;;;;
2;2;01;1590836264;Jadalnia_on/off;;1001;ETS import;1;0;;0;;;;;;
3;3;00;1592770049;Kuchnia_on/off;;1001;ETS import;1;0;;0;;;;;;
5;5;00;1592857530;Gabinet Szefa_on/off;;1001;ETS import;1;0;;0;;;;;;
7;7;00;1535547367;Łazienka mała_on/off;;1001;ETS import;1;0;;0;;;;;;
8;8;;1455714980;Oranżeria 0p_on/off;;1001;ETS import;1;0;;0;;;;;;
9;9;00;1586626412;Salon_on/off;;1001;ETS import;1;0;;0;;;;;;
11;11;00;1583779939;Basen_on/off;;1001;ETS import;1;0;;0;;;;;;
12;12;01;1504298013;Komunikacja -1p_on/off;;1001;ETS import;1;0;;0;;;;;;
13;13;;1455714980;Komunikacja Ip_on/off;;1001;ETS import;1;0;;0;;;;;;
14;14;01;1591118484;Hall Ip_manual on/off;;1001;ETS import;1;0;;0;;;;;;
15;15;00;1592773885;Sypialnia_on/off;;1001;ETS import;1;0;;0;;;;;;
16;16;00;1592852980;Łazienka Państwa_manual on/off;;1001;ETS import;1;0;;0;;;;;;
17;17;00;1553686435;Garderoba_manual on/off;;1001;ETS import;1;0;;0;;;;;;
18;18;01;1592397747;Gabinet Pani_manual on/off;;1001;ETS import;1;0;;0;;;;;;
19;19;00;1585685447;Gościnny 1_on/off;;1001;ETS import;1;0;;0;;;;;;
20;20;01;1590346859;Gościnny z aneksem_on/off;;1001;ETS import;1;0;;0;;;;;;
21;21;00;1592853025;Łazienka dla gości_manual on/off;;1001;ETS import;1;0;;0;;;;;;
22;22;00;1591303079;Gościnny z aneksem_Łazienka_manual on/off;;1001;ETS import;1;0;;0;;;;;;
23;23;;1455714980;Muzyczny_on/off;;1001;ETS import;1;0;;0;;;;;;
26;26;00;1478092459;Kotłownia K12 on/off;;1001;ETS import;1;0;;0;;;;;;
27;27;00;1518035016;Kotłownia_BK3 on/off;;1001;ETS import;1;0;;0;;;;;;
28;28;00;1592844902;Basenownia_Ruch on/off;;1001;ETS import;1;0;;0;;;{"0":"r","1":"R","default":""};;;
29;29;;1477912639;Oświetlenie_Piętro on/off;;1001;;1;0;;0;;;;;;
30;30;;1477912654;Oświetlenie_Parter on/off;;1001;;1;0;;0;;;;;;
31;31;;1477912669;Oświetlenie_Piwnica on/off;;1001;;1;0;;0;;;;;;
32;32;00;1499105577;Oświetlenie_Zewnętrzne on/off;;1001;;1;0;;0;;;;;;
34;34;00;1592844913;Basen_Onyks_on/off;;1001;ETS import;1;0;;0;;;;;;
35;35;;1455714980;Basen_Onyks_dimm;;3;ETS import;1;0;;0;;;;;;
36;36;00;1558442754;Kuchnia_Lampki_on/off;;1001;ETS import;1;0;;0;;;;;;
37;37;;1455714980;Kuchnia_Lampki_dimm;;3;ETS import;1;0;;0;;;;;;
40;40;;1455714980;Komunikacja 0p_on/off;;1001;ETS import;1;0;;0;;;;;;
42;42;00;1592509725;Salon_Żyrandol przy TV_on/off;;1001;ETS import;1;0;;0;;;;;;
43;43;0C;1493137013;Salon_Żyrandol przy TV_dimm;;3;ETS import;1;0;;0;;;;;;
44;44;00;1592509789;Salon_Żyrandol przy kominku_on/off;;1001;ETS import;1;0;;0;;;;;;
45;45;0D;1592509780;Salon_Żyrandol kominku_dimm;;3;ETS import;1;0;;0;;;;;;
46;46;00;1592397755;Gabinet Pani_Lampki_on/off;;1001;ETS import;1;0;;0;;;;;;
47;47;08;1592397754;Gabinet Pani_Lampki_dimm;;3;ETS import;1;0;;0;;;;;;
51;51;00;1592858113;Sypialnia_L38+L39_on/off;;1001;ETS import;1;0;;0;;;;;;
52;52;00;1588883457;Sypialnia_L38+L39_dimm;;3;ETS import;1;0;;0;;;;;;
53;53;00;1591371696;Gościnny 1_D62+D64_on/off;;1001;ETS import;1;0;;0;;;;;;
54;54;00;1577440075;Gościnny 1_D62+D64_dimm;;3;ETS import;1;0;;0;;;;;;
55;55;00;1588282500;Gościnny 1_D61+D63_on/off;;1001;ETS import;1;0;;0;;;;;;
56;56;00;1585685429;Gościnny 1_D61+D63_dimm;;3;ETS import;1;0;;0;;;;;;
57;57;;1455714980;Jadalnia_103.1+103.2_value;;5001;ETS import;1;0;;0;;{"control":"vselect","icons":"1"};{"0":"wyłącz","20":"orientacyjne","70":"oszczędne","100":"100%","default":"inny"};;;
58;58;00;1591371709;Gościnny z aneksem_D39+D46_on/off;;1001;ETS import;1;0;;0;;;;;;
59;59;08;1590346915;Gościnny z aneksem_D39+D46_dimm;;3;ETS import;1;0;;0;;;;;;
60;60;00;1590346922;Gościnny z aneksem_D38+D44_on/off;;1001;ETS import;1;0;;0;;;;;;
61;61;08;1590346921;Gościnny z aneksem_D38+D44_dimm;;3;ETS import;1;0;;0;;;;;;
62;62;01;1475222082;Obiekt_NAPAD;;1;ETS import;1;0;;0;;;;;;
63;63;;1455714980;Gabinet Szefa_Lampki value;;5001;ETS import;1;0;;0;;{"control":"vselect","icons":"1"};{"0":"wyłącz","20":"orientacyjne","70":"oszczędne","100":"100%","default":"inny"};;;
64;64;00;1592858438;Oświetlenie_Liczba włączonych lamp;;5;;1;0;;0;;;;;;
65;65;59;1592858438;Oświetlenie_Liczba monitorowanych lamp;;5;;1;0;;0;;;;;;
67;67;00;1489419344;Łazienka obok windy_on/off;;1001;ETS import;1;0;;0;;;;;;
68;68;00;1592581792;Wejścia_Od Basenu_on/off;;1001;ETS import;1;0;;0;;;;;;
69;69;00;1576363858;Gościnny z aneksem + Łazienka on/off;;1001;ETS import;1;0;;0;;;;;;
70;70;;1455714980;NAPAD 1_Altana;;1;ETS import;1;0;;0;;;;;;
71;71;01;1541760029;NAPAD 2_Basen;;1;ETS import;1;0;;0;;;;;;
